Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
03.06.2026, 00:31:12;Brahmaparuss;Doswiadczenie;165.145.492 / 165.145.790;165.233.641 / 165.260.750;88149
03.06.2026, 00:31:12;Brahmaparuss;Walki;95.442;95.447;5
03.06.2026, 00:31:12;Brahmaparuss;Zrabowane dobra;258.904.224.951 krwi;258.977.467.629 krwi;73242678
03.06.2026, 00:31:13;Gawron;Walki;56.882;56.883;1
03.06.2026, 00:31:14;lux;Doswiadczenie;102.797.762 / 102.835.660;102.850.259 / 102.881.015;52497
03.06.2026, 00:31:14;lux;Charyzma;1870;1871;1
03.06.2026, 00:31:14;lux;Zrabowane dobra;170.529.946.342 krwi;170.603.411.881 krwi;73465539
03.06.2026, 00:31:14;XTurek;Doswiadczenie;358.700.799 / 358.712.970;358.788.852 / 358.797.675;88053
03.06.2026, 00:31:14;XTurek;Zrabowane dobra;768.367.112.196 mięsa;768.434.519.077 mięsa;67406881
03.06.2026, 00:31:15;Viktor;Walki;49.539;49.540;1
03.06.2026, 00:31:16;PEON;Doswiadczenie;144.936.997 / 144.942.660;144.942.381 / 144.942.660;5384
03.06.2026, 02:13:52;Brahmaparuss;Doswiadczenie;165.233.641 / 165.260.750;165.239.390 / 165.260.750;5749
03.06.2026, 02:13:53;Gawron;Doswiadczenie;116.418.818 / 116.456.205;116.423.644 / 116.456.205;4826
03.06.2026, 02:13:53;lux;Doswiadczenie;102.850.259 / 102.881.015;102.882.928 / 102.926.380;32669
03.06.2026, 02:13:53;lux;Charyzma;1871;1872;1
03.06.2026, 02:13:53;lux;Zrabowane dobra;170.603.411.881 krwi;170.628.817.980 krwi;25406099
03.06.2026, 02:13:54;XTurek;Doswiadczenie;358.788.852 / 358.797.675;358.802.125 / 358.882.390;13273
03.06.2026, 02:13:54;XTurek;Zwinnosc;3862;3863;1
03.06.2026, 02:13:54;XTurek;Zrabowane dobra;768.434.519.077 mięsa;768.510.702.073 mięsa;76182996
03.06.2026, 02:13:55;Viktor;Doswiadczenie;138.262.415 / 138.290.660;138.262.647 / 138.290.660;232
03.06.2026, 02:13:55;Viktor;Zrabowane dobra;245.273.668.723 krwi;245.274.397.377 krwi;728654
03.06.2026, 07:19:08;Brahmaparuss;Doswiadczenie;165.239.390 / 165.260.750;165.460.720 / 165.490.795;221330
03.06.2026, 07:19:08;Brahmaparuss;Obrona;3654;3655;1
03.06.2026, 07:19:08;Brahmaparuss;Walki;95.447;95.449;2
03.06.2026, 07:19:08;Brahmaparuss;Zrabowane dobra;258.977.467.629 krwi;259.188.500.705 krwi;211033076
03.06.2026, 07:19:08;Gawron;Doswiadczenie;116.423.644 / 116.456.205;116.424.124 / 116.456.205;480
03.06.2026, 07:19:08;Gawron;Walki;56.883;56.885;2
03.06.2026, 07:19:08;Gawron;Zrabowane dobra;183.374.052.981 krwi;183.375.971.541 krwi;1918560
03.06.2026, 07:19:09;lux;Doswiadczenie;102.882.928 / 102.926.380;102.887.465 / 102.926.380;4537
03.06.2026, 07:19:09;lux;Walki;103.976;103.978;2
03.06.2026, 07:19:10;XTurek;Doswiadczenie;358.802.125 / 358.882.390;359.251.844 / 359.306.120;449719
03.06.2026, 07:19:10;XTurek;Zwinnosc;3863;3865;2
03.06.2026, 07:19:10;XTurek;Zrabowane dobra;768.510.702.073 mięsa;769.177.449.847 mięsa;666747774
03.06.2026, 07:19:10;Viktor;Doswiadczenie;138.262.647 / 138.290.660;138.262.867 / 138.290.660;220
03.06.2026, 07:19:10;Viktor;Walki;49.540;49.541;1
03.06.2026, 07:19:10;Viktor;Zrabowane dobra;245.274.397.377 krwi;245.275.088.342 krwi;690965
03.06.2026, 07:19:11;PEON;Doswiadczenie;144.942.381 / 144.942.660;144.947.768 / 144.996.510;5387
03.06.2026, 07:19:11;PEON;Zrabowane dobra;297.973.981.899 mięsa;297.973.990.254 mięsa;8355
03.06.2026, 12:13:09;Brahmaparuss;Doswiadczenie;165.460.720 / 165.490.795;165.547.983 / 165.548.330;87263
03.06.2026, 12:13:09;Brahmaparuss;Zrabowane dobra;259.188.500.705 krwi;259.251.277.915 krwi;62777210
03.06.2026, 12:13:10;Gawron;Doswiadczenie;116.424.124 / 116.456.205;116.432.701 / 116.456.205;8577
03.06.2026, 12:13:10;Gawron;Walki;56.885;56.888;3
03.06.2026, 12:13:10;Gawron;Zrabowane dobra;183.375.971.541 krwi;183.377.986.029 krwi;2014488
03.06.2026, 12:13:11;lux;Doswiadczenie;102.887.465 / 102.926.380;103.033.205 / 103.062.540;145740
03.06.2026, 12:13:11;lux;Zwinnosc;2102;2103;1
03.06.2026, 12:13:11;lux;Walki;103.978;103.983;5
03.06.2026, 12:13:11;lux;Zrabowane dobra;170.628.817.980 krwi;170.741.333.391 krwi;112515411
03.06.2026, 12:13:11;XTurek;Doswiadczenie;359.251.844 / 359.306.120;359.703.606 / 359.730.100;451762
03.06.2026, 12:13:11;XTurek;Zwinnosc;3865;3866;1
03.06.2026, 12:13:11;XTurek;Zrabowane dobra;769.177.449.847 mięsa;769.631.325.663 mięsa;453875816
03.06.2026, 12:13:12;Viktor;Walki;49.541;49.542;1
03.06.2026, 12:13:13;PEON;Doswiadczenie;144.947.768 / 144.996.510;144.951.402 / 144.996.510;3634
03.06.2026, 12:13:13;PEON;Walki;30.635;30.637;2
03.06.2026, 12:13:13;PEON;Zrabowane dobra;297.973.990.254 mięsa;297.974.001.394 mięsa;11140
03.06.2026, 17:04:54;Brahmaparuss;Doswiadczenie;165.547.983 / 165.548.330;165.757.251 / 165.778.575;209268
03.06.2026, 17:04:54;Brahmaparuss;Wytrzymalosc;3225;3226;1
03.06.2026, 17:04:54;Brahmaparuss;Walki;95.449;95.457;8
03.06.2026, 17:04:54;Brahmaparuss;Zrabowane dobra;259.251.277.915 krwi;259.447.756.997 krwi;196479082
03.06.2026, 17:04:55;Gawron;Doswiadczenie;116.432.701 / 116.456.205;116.464.779 / 116.504.470;32078
03.06.2026, 17:04:55;Gawron;Walki;56.888;56.893;5
03.06.2026, 17:04:55;Gawron;Zrabowane dobra;183.377.986.029 krwi;183.427.971.856 krwi;49985827
03.06.2026, 17:04:56;lux;Doswiadczenie;103.033.205 / 103.062.540;103.152.733 / 103.153.360;119528
03.06.2026, 17:04:56;lux;Charyzma;1872;1873;1
03.06.2026, 17:04:56;lux;Walki;103.983;104.002;19
03.06.2026, 17:04:56;lux;Zrabowane dobra;170.741.333.391 krwi;170.832.170.319 krwi;90836928
03.06.2026, 17:04:57;XTurek;Doswiadczenie;359.703.606 / 359.730.100;360.208.543 / 360.239.205;504937
03.06.2026, 17:04:57;XTurek;Zwinnosc;3866;3868;2
03.06.2026, 17:04:57;XTurek;Zrabowane dobra;769.631.325.663 mięsa;770.178.532.609 mięsa;547206946
03.06.2026, 17:04:58;Viktor;Doswiadczenie;138.262.867 / 138.290.660;138.263.051 / 138.290.660;184
03.06.2026, 17:04:58;Viktor;Walki;49.542;49.543;1
03.06.2026, 17:04:58;Viktor;Zrabowane dobra;245.275.088.342 krwi;245.275.849.159 krwi;760817
03.06.2026, 17:04:59;PEON;Doswiadczenie;144.951.402 / 144.996.510;144.962.181 / 144.996.510;10779
03.06.2026, 17:04:59;PEON;Zrabowane dobra;297.974.001.394 mięsa;297.974.026.459 mięsa;25065
03.06.2026, 20:56:03;Brahmaparuss;Doswiadczenie;165.757.251 / 165.778.575;165.964.176 / 166.008.980;206925
03.06.2026, 20:56:03;Brahmaparuss;Obrona;3655;3656;1
03.06.2026, 20:56:03;Brahmaparuss;Walki;95.457;95.463;6
03.06.2026, 20:56:03;Brahmaparuss;Zrabowane dobra;259.447.756.997 krwi;259.664.977.531 krwi;217220534
03.06.2026, 20:56:04;Gawron;Doswiadczenie;116.464.779 / 116.504.470;116.469.608 / 116.504.470;4829
03.06.2026, 20:56:04;Gawron;Walki;56.893;56.896;3
03.06.2026, 20:56:05;lux;Doswiadczenie;103.152.733 / 103.153.360;103.271.706 / 103.289.670;118973
03.06.2026, 20:56:05;lux;Wytrzymalosc;2508;2509;1
03.06.2026, 20:56:05;lux;Walki;104.002;104.010;8
03.06.2026, 20:56:05;lux;Zrabowane dobra;170.832.170.319 krwi;170.938.327.593 krwi;106157274
03.06.2026, 20:56:05;XTurek;Doswiadczenie;360.208.543 / 360.239.205;360.667.244 / 360.748.670;458701
03.06.2026, 20:56:05;XTurek;Zwinnosc;3868;3869;1
03.06.2026, 20:56:05;XTurek;Walki;115.615;115.617;2
03.06.2026, 20:56:05;XTurek;Zrabowane dobra;770.178.532.609 mięsa;770.593.413.785 mięsa;414881176
03.06.2026, 20:56:06;Viktor;Doswiadczenie;138.263.051 / 138.290.660;138.263.515 / 138.290.660;464
03.06.2026, 20:56:06;Viktor;Zrabowane dobra;245.275.849.159 krwi;245.277.767.741 krwi;1918582
03.06.2026, 20:56:07;PEON;Doswiadczenie;144.962.181 / 144.996.510;144.987.880 / 144.996.510;25699
03.06.2026, 20:56:07;PEON;Zwinnosc;3001;3002;1
03.06.2026, 20:56:07;PEON;Walki;30.637;30.638;1
