Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
09.09.2026, 00:29:40;Brahmaparuss;Doswiadczenie;282.208.429 / 282.233.355;282.271.449 / 282.308.490;63020
09.09.2026, 00:29:40;Brahmaparuss;Zwinnosc;3645;3647;2
09.09.2026, 00:29:40;Brahmaparuss;Walki;99.434;99.436;2
09.09.2026, 00:29:40;Brahmaparuss;Zrabowane dobra;367.311.050.208 krwi;367.377.571.547 krwi;66521339
09.09.2026, 00:29:41;Gawron;Walki;58.179;58.180;1
09.09.2026, 00:29:41;lux;Doswiadczenie;142.596.195 / 142.636.745;142.707.953 / 142.743.585;111758
09.09.2026, 00:29:41;lux;Walki;108.613;108.614;1
09.09.2026, 00:29:41;lux;Zrabowane dobra;204.197.963.856 krwi;204.309.285.468 krwi;111321612
09.09.2026, 00:29:42;XTurek;Doswiadczenie;602.137.181 / 602.154.350;602.148.435 / 602.154.350;11254
09.09.2026, 00:29:42;XTurek;Zrabowane dobra;1.020.387.370.600 mięsa;1.020.389.011.225 mięsa;1640625
09.09.2026, 00:29:43;Viktor;Doswiadczenie;159.074.396 / 159.110.045;159.074.398 / 159.110.045;2
09.09.2026, 00:29:43;Viktor;Walki;52.408;52.409;1
09.09.2026, 00:29:44;PEON;Doswiadczenie;188.957.321 / 188.995.665;188.969.794 / 188.995.665;12473
09.09.2026, 00:29:44;PEON;Obrona;3338;3339;1
09.09.2026, 00:29:44;PEON;Walki;31.075;31.076;1
09.09.2026, 00:29:44;PEON;Zrabowane dobra;333.412.773.694 mięsa;333.432.022.034 mięsa;19248340
