Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
18.05.2026, 00:06:31;Brahmaparuss;Doswiadczenie;145.434.019 / 145.481.570;145.436.233 / 145.481.570;2214
18.05.2026, 00:06:33;lux;Doswiadczenie;95.976.663 / 96.014.000;95.977.857 / 96.014.000;1194
18.05.2026, 00:06:34;XTurek;Doswiadczenie;328.529.746 / 328.544.285;328.578.101 / 328.625.350;48355
18.05.2026, 00:06:34;XTurek;Zrabowane dobra;739.283.774.075 mięsa;739.326.922.729 mięsa;43148654
18.05.2026, 00:06:36;PEON;Doswiadczenie;144.182.365 / 144.189.870;144.183.834 / 144.189.870;1469
18.05.2026, 01:08:55;Gawron;Doswiadczenie;115.099.624 / 115.108.815;115.104.422 / 115.108.815;4798
18.05.2026, 01:08:56;lux;Doswiadczenie;95.977.857 / 96.014.000;96.017.215 / 96.057.825;39358
18.05.2026, 01:08:56;lux;Zrabowane dobra;165.084.731.840 krwi;165.124.667.082 krwi;39935242
18.05.2026, 02:09:04;Brahmaparuss;Doswiadczenie;145.436.233 / 145.481.570;145.516.910 / 145.535.520;80677
18.05.2026, 02:09:04;Brahmaparuss;Walki;94.722;94.723;1
18.05.2026, 02:09:04;Brahmaparuss;Zrabowane dobra;242.328.143.188 krwi;242.388.765.505 krwi;60622317
18.05.2026, 02:09:05;Gawron;Walki;56.715;56.716;1
18.05.2026, 02:09:06;lux;Walki;103.508;103.509;1
18.05.2026, 02:09:08;Viktor;Walki;49.232;49.233;1
18.05.2026, 06:40:29;Brahmaparuss;Doswiadczenie;145.516.910 / 145.535.520;145.665.402 / 145.697.415;148492
18.05.2026, 06:40:29;Brahmaparuss;Wytrzymalosc;3179;3181;2
18.05.2026, 06:40:29;Brahmaparuss;Walki;94.723;94.726;3
18.05.2026, 06:40:29;Brahmaparuss;Zrabowane dobra;242.388.765.505 krwi;242.513.899.906 krwi;125134401
18.05.2026, 06:40:30;Gawron;Doswiadczenie;115.104.422 / 115.108.815;115.155.900 / 115.156.800;51478
18.05.2026, 06:40:30;Gawron;Zrabowane dobra;182.322.904.682 krwi;182.355.448.685 krwi;32544003
18.05.2026, 06:40:31;lux;Doswiadczenie;96.017.215 / 96.057.825;96.021.598 / 96.057.825;4383
18.05.2026, 06:40:32;XTurek;Doswiadczenie;328.578.101 / 328.625.350;328.845.785 / 328.868.610;267684
18.05.2026, 06:40:32;XTurek;Wytrzymalosc;3680;3683;3
18.05.2026, 06:40:32;XTurek;Zrabowane dobra;739.326.922.729 mięsa;739.593.659.183 mięsa;266736454
18.05.2026, 06:40:32;Viktor;Doswiadczenie;131.058.545 / 131.077.120;131.065.105 / 131.077.120;6560
18.05.2026, 06:40:32;Viktor;Walki;49.233;49.234;1
18.05.2026, 06:40:32;Viktor;Zrabowane dobra;239.252.378.666 krwi;239.258.259.266 krwi;5880600
18.05.2026, 06:40:33;PEON;Doswiadczenie;144.183.834 / 144.189.870;144.189.204 / 144.189.870;5370
18.05.2026, 10:36:27;Brahmaparuss;Doswiadczenie;145.665.402 / 145.697.415;145.805.492 / 145.859.405;140090
18.05.2026, 10:36:27;Brahmaparuss;Walki;94.726;94.730;4
18.05.2026, 10:36:27;Brahmaparuss;Zrabowane dobra;242.513.899.906 krwi;242.624.843.199 krwi;110943293
18.05.2026, 10:36:27;Gawron;Doswiadczenie;115.155.900 / 115.156.800;115.233.802 / 115.252.805;77902
18.05.2026, 10:36:27;Gawron;Zwinnosc;2248;2249;1
18.05.2026, 10:36:27;Gawron;Wytrzymalosc;1975;1976;1
18.05.2026, 10:36:27;Gawron;Walki;56.716;56.717;1
18.05.2026, 10:36:27;Gawron;Zrabowane dobra;182.355.448.685 krwi;182.407.646.325 krwi;52197640
18.05.2026, 10:36:28;lux;Doswiadczenie;96.021.598 / 96.057.825;96.104.668 / 96.145.510;83070
18.05.2026, 10:36:28;lux;Zwinnosc;2068;2069;1
18.05.2026, 10:36:28;lux;Zrabowane dobra;165.124.667.082 krwi;165.188.390.801 krwi;63723719
18.05.2026, 10:36:29;XTurek;Doswiadczenie;328.845.785 / 328.868.610;329.050.767 / 329.111.955;204982
18.05.2026, 10:36:29;XTurek;Zrabowane dobra;739.593.659.183 mięsa;739.784.731.234 mięsa;191072051
18.05.2026, 10:36:29;Viktor;Doswiadczenie;131.065.105 / 131.077.120;131.166.157 / 131.179.540;101052
18.05.2026, 10:36:29;Viktor;Zwinnosc;2585;2586;1
18.05.2026, 10:36:29;Viktor;Walki;49.234;49.238;4
18.05.2026, 10:36:29;Viktor;Zrabowane dobra;239.258.259.266 krwi;239.335.628.952 krwi;77369686
18.05.2026, 10:36:30;PEON;Doswiadczenie;144.189.204 / 144.189.870;144.189.240 / 144.189.870;36
18.05.2026, 10:36:30;PEON;Zrabowane dobra;296.755.396.867 mięsa;296.755.497.091 mięsa;100224
