Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
29.05.2026, 00:55:55;Brahmaparuss;Doswiadczenie;158.733.304 / 158.771.760;158.867.889 / 158.884.480;134585
29.05.2026, 00:55:55;Brahmaparuss;Wytrzymalosc;3215;3216;1
29.05.2026, 00:55:55;Brahmaparuss;Walki;95.162;95.167;5
29.05.2026, 00:55:55;Brahmaparuss;Zrabowane dobra;253.378.301.399 krwi;253.490.230.719 krwi;111929320
29.05.2026, 00:55:56;Gawron;Walki;56.823;56.824;1
29.05.2026, 00:55:56;lux;Doswiadczenie;100.853.369 / 100.894.810;100.895.526 / 100.939.735;42157
29.05.2026, 00:55:56;lux;Zwinnosc;2091;2092;1
29.05.2026, 00:55:56;lux;Zrabowane dobra;169.025.955.513 krwi;169.064.069.346 krwi;38113833
29.05.2026, 00:55:57;XTurek;Doswiadczenie;347.983.263 / 348.036.585;348.074.987 / 348.120.020;91724
29.05.2026, 00:55:57;XTurek;Zwinnosc;3826;3827;1
29.05.2026, 00:55:57;XTurek;Zrabowane dobra;757.815.847.708 mięsa;757.913.282.099 mięsa;97434391
29.05.2026, 02:10:10;Gawron;Doswiadczenie;116.137.171 / 116.166.820;116.141.991 / 116.166.820;4820
29.05.2026, 02:10:11;XTurek;Doswiadczenie;348.074.987 / 348.120.020;348.089.207 / 348.120.020;14220
29.05.2026, 02:10:11;XTurek;Zrabowane dobra;757.913.282.099 mięsa;757.939.672.052 mięsa;26389953
29.05.2026, 06:41:57;Brahmaparuss;Doswiadczenie;158.867.889 / 158.884.480;159.089.321 / 159.110.045;221432
29.05.2026, 06:41:57;Brahmaparuss;Zwinnosc;3469;3470;1
29.05.2026, 06:41:57;Brahmaparuss;Walki;95.167;95.171;4
29.05.2026, 06:41:57;Brahmaparuss;Zrabowane dobra;253.490.230.719 krwi;253.682.931.738 krwi;192701019
29.05.2026, 06:41:58;Gawron;Walki;56.824;56.825;1
29.05.2026, 06:41:59;lux;Doswiadczenie;100.895.526 / 100.939.735;100.900.019 / 100.939.735;4493
29.05.2026, 06:41:59;lux;Walki;103.884;103.885;1
29.05.2026, 06:42:00;XTurek;Doswiadczenie;348.089.207 / 348.120.020;348.415.054 / 348.453.865;325847
29.05.2026, 06:42:00;XTurek;Zwinnosc;3827;3829;2
29.05.2026, 06:42:00;XTurek;Zrabowane dobra;757.939.672.052 mięsa;758.245.544.069 mięsa;305872017
29.05.2026, 06:42:01;Viktor;Doswiadczenie;136.794.806 / 136.822.035;136.841.606 / 136.874.350;46800
29.05.2026, 06:42:01;Viktor;Walki;49.505;49.506;1
29.05.2026, 06:42:01;Viktor;Zrabowane dobra;244.151.178.262 krwi;244.182.282.103 krwi;31103841
29.05.2026, 06:42:02;PEON;Doswiadczenie;144.730.286 / 144.781.185;144.735.697 / 144.781.185;5411
29.05.2026, 06:42:02;PEON;Zrabowane dobra;297.709.169.734 mięsa;297.709.253.284 mięsa;83550
29.05.2026, 10:30:52;Brahmaparuss;Doswiadczenie;159.089.321 / 159.110.045;159.177.537 / 159.222.885;88216
29.05.2026, 10:30:52;Brahmaparuss;Walki;95.171;95.173;2
29.05.2026, 10:30:52;Brahmaparuss;Zrabowane dobra;253.682.931.738 krwi;253.752.054.799 krwi;69123061
29.05.2026, 10:30:53;Gawron;Doswiadczenie;116.141.991 / 116.166.820;116.142.855 / 116.166.820;864
29.05.2026, 10:30:53;Gawron;Walki;56.825;56.827;2
29.05.2026, 10:30:53;Gawron;Zrabowane dobra;182.986.436.922 krwi;182.989.868.946 krwi;3432024
29.05.2026, 10:30:54;lux;Doswiadczenie;100.900.019 / 100.939.735;100.985.896 / 101.029.620;85877
29.05.2026, 10:30:54;lux;Zwinnosc;2092;2093;1
29.05.2026, 10:30:54;lux;Walki;103.885;103.886;1
29.05.2026, 10:30:54;lux;Zrabowane dobra;169.064.069.346 krwi;169.129.620.779 krwi;65551433
29.05.2026, 10:30:54;XTurek;Doswiadczenie;348.415.054 / 348.453.865;348.772.760 / 348.787.870;357706
29.05.2026, 10:30:54;XTurek;Zwinnosc;3829;3830;1
29.05.2026, 10:30:54;XTurek;Zrabowane dobra;758.245.544.069 mięsa;758.580.110.216 mięsa;334566147
29.05.2026, 10:30:55;Viktor;Doswiadczenie;136.841.606 / 136.874.350;136.961.330 / 136.979.010;119724
29.05.2026, 10:30:55;Viktor;Sila;2997;2998;1
29.05.2026, 10:30:55;Viktor;Wytrzymalosc;2392;2393;1
29.05.2026, 10:30:55;Viktor;Walki;49.506;49.507;1
29.05.2026, 10:30:55;Viktor;Zrabowane dobra;244.182.282.103 krwi;244.274.104.830 krwi;91822727
29.05.2026, 10:30:56;PEON;Doswiadczenie;144.735.697 / 144.781.185;144.742.598 / 144.781.185;6901
29.05.2026, 10:30:56;PEON;Zrabowane dobra;297.709.253.284 mięsa;297.709.386.964 mięsa;133680
