Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
14.05.2026, 00:19:19;Brahmaparuss;Doswiadczenie;140.429.175 / 140.455.300;140.429.788 / 140.455.300;613
14.05.2026, 00:19:19;Brahmaparuss;Walki;94.574;94.575;1
14.05.2026, 00:19:19;Brahmaparuss;Zrabowane dobra;238.316.544.282 krwi;238.320.204.610 krwi;3660328
14.05.2026, 00:19:20;Gawron;Walki;56.650;56.651;1
14.05.2026, 00:19:21;lux;Doswiadczenie;93.894.902 / 93.922.110;93.929.993 / 93.965.460;35091
14.05.2026, 00:19:21;lux;Zrabowane dobra;163.533.717.266 krwi;163.555.637.582 krwi;21920316
14.05.2026, 00:19:22;XTurek;Doswiadczenie;320.417.517 / 320.488.185;320.420.067 / 320.488.185;2550
14.05.2026, 00:19:22;XTurek;Wytrzymalosc;3653;3655;2
14.05.2026, 00:19:22;XTurek;Walki;115.605;115.606;1
14.05.2026, 00:19:22;XTurek;Zrabowane dobra;731.231.961.301 mięsa;731.247.657.979 mięsa;15696678
14.05.2026, 00:19:23;Viktor;Doswiadczenie;128.938.480 / 128.986.280;128.970.599 / 128.986.280;32119
14.05.2026, 00:19:23;Viktor;Zwinnosc;2567;2568;1
14.05.2026, 00:19:23;Viktor;Walki;49.088;49.097;9
14.05.2026, 00:19:23;Viktor;Zrabowane dobra;237.658.794.922 krwi;237.679.255.576 krwi;20460654
14.05.2026, 00:19:24;PEON;Walki;30.601;30.602;1
14.05.2026, 01:33:37;Brahmaparuss;Doswiadczenie;140.429.788 / 140.455.300;140.429.790 / 140.455.300;2
14.05.2026, 01:33:37;Brahmaparuss;Walki;94.575;94.576;1
14.05.2026, 01:33:40;XTurek;Doswiadczenie;320.420.067 / 320.488.185;320.427.567 / 320.488.185;7500
14.05.2026, 01:33:40;XTurek;Wytrzymalosc;3655;3656;1
14.05.2026, 01:33:40;XTurek;Zrabowane dobra;731.247.657.979 mięsa;731.268.673.535 mięsa;21015556
14.05.2026, 01:33:40;Viktor;Doswiadczenie;128.970.599 / 128.986.280;128.970.601 / 128.986.280;2
14.05.2026, 01:33:40;Viktor;Walki;49.097;49.098;1
14.05.2026, 03:29:44;Brahmaparuss;Doswiadczenie;140.429.790 / 140.455.300;140.516.181 / 140.561.320;86391
14.05.2026, 03:29:44;Brahmaparuss;Sila;3895;3900;5
14.05.2026, 03:29:44;Brahmaparuss;Walki;94.576;94.577;1
14.05.2026, 03:29:44;Brahmaparuss;Zrabowane dobra;238.320.204.610 krwi;238.391.738.760 krwi;71534150
14.05.2026, 03:29:45;Gawron;Doswiadczenie;114.236.567 / 114.246.780;114.241.347 / 114.246.780;4780
14.05.2026, 03:29:47;XTurek;Doswiadczenie;320.427.567 / 320.488.185;320.430.141 / 320.488.185;2574
14.05.2026, 03:29:47;XTurek;Zrabowane dobra;731.268.673.535 mięsa;731.278.720.386 mięsa;10046851
14.05.2026, 03:29:49;PEON;Doswiadczenie;144.057.931 / 144.082.485;144.063.299 / 144.082.485;5368
14.05.2026, 07:27:54;Brahmaparuss;Doswiadczenie;140.516.181 / 140.561.320;140.681.973 / 140.720.430;165792
14.05.2026, 07:27:54;Brahmaparuss;Sila;3900;3901;1
14.05.2026, 07:27:54;Brahmaparuss;Wytrzymalosc;3172;3173;1
14.05.2026, 07:27:54;Brahmaparuss;Walki;94.577;94.578;1
14.05.2026, 07:27:54;Brahmaparuss;Zrabowane dobra;238.391.738.760 krwi;238.548.502.829 krwi;156764069
14.05.2026, 07:27:56;lux;Doswiadczenie;93.929.993 / 93.965.460;94.009.067 / 94.052.180;79074
14.05.2026, 07:27:56;lux;Obrona;2832;2834;2
14.05.2026, 07:27:56;lux;Walki;103.412;103.413;1
14.05.2026, 07:27:56;lux;Zrabowane dobra;163.555.637.582 krwi;163.623.574.137 krwi;67936555
14.05.2026, 07:27:56;XTurek;Doswiadczenie;320.430.141 / 320.488.185;320.759.751 / 320.808.510;329610
14.05.2026, 07:27:56;XTurek;Sila;4292;4293;1
14.05.2026, 07:27:56;XTurek;Wytrzymalosc;3656;3659;3
14.05.2026, 07:27:56;XTurek;Walki;115.606;115.607;1
14.05.2026, 07:27:56;XTurek;Zrabowane dobra;731.278.720.386 mięsa;731.605.186.038 mięsa;326465652
14.05.2026, 07:27:57;Viktor;Doswiadczenie;128.970.601 / 128.986.280;129.073.141 / 129.087.885;102540
14.05.2026, 07:27:57;Viktor;Sila;2972;2977;5
14.05.2026, 07:27:57;Viktor;Walki;49.098;49.101;3
14.05.2026, 07:27:57;Viktor;Zrabowane dobra;237.679.255.576 krwi;237.746.234.340 krwi;66978764
14.05.2026, 07:27:58;PEON;Doswiadczenie;144.063.299 / 144.082.485;144.065.121 / 144.082.485;1822
14.05.2026, 07:27:58;PEON;Zrabowane dobra;296.589.999.093 mięsa;296.599.281.989 mięsa;9282896
14.05.2026, 10:09:11;Brahmaparuss;Doswiadczenie;140.681.973 / 140.720.430;140.803.426 / 140.826.550;121453
14.05.2026, 10:09:11;Brahmaparuss;Zrabowane dobra;238.548.502.829 krwi;238.633.197.254 krwi;84694425
14.05.2026, 10:09:12;Gawron;Doswiadczenie;114.241.347 / 114.246.780;114.292.100 / 114.294.585;50753
14.05.2026, 10:09:12;Gawron;Wytrzymalosc;1964;1965;1
14.05.2026, 10:09:12;Gawron;Walki;56.651;56.652;1
14.05.2026, 10:09:12;Gawron;Zrabowane dobra;181.754.018.520 krwi;181.783.780.592 krwi;29762072
14.05.2026, 10:09:13;lux;Doswiadczenie;94.009.067 / 94.052.180;94.093.765 / 94.095.555;84698
14.05.2026, 10:09:13;lux;Wytrzymalosc;2491;2492;1
14.05.2026, 10:09:13;lux;Zrabowane dobra;163.623.574.137 krwi;163.676.327.440 krwi;52753303
14.05.2026, 10:09:14;XTurek;Doswiadczenie;320.759.751 / 320.808.510;320.975.594 / 321.048.855;215843
14.05.2026, 10:09:14;XTurek;Walki;115.607;115.610;3
14.05.2026, 10:09:14;XTurek;Zrabowane dobra;731.605.186.038 mięsa;731.802.900.471 mięsa;197714433
14.05.2026, 10:09:15;Viktor;Doswiadczenie;129.073.141 / 129.087.885;129.137.382 / 129.138.700;64241
14.05.2026, 10:09:15;Viktor;Sila;2977;2978;1
14.05.2026, 10:09:15;Viktor;Walki;49.101;49.107;6
14.05.2026, 10:09:15;Viktor;Zrabowane dobra;237.746.234.340 krwi;237.787.164.519 krwi;40930179
14.05.2026, 10:09:16;PEON;Doswiadczenie;144.065.121 / 144.082.485;144.068.387 / 144.082.485;3266
14.05.2026, 10:09:16;PEON;Zrabowane dobra;296.599.281.989 mięsa;296.617.073.444 mięsa;17791455
14.05.2026, 12:31:34;Brahmaparuss;Doswiadczenie;140.803.426 / 140.826.550;140.806.330 / 140.826.550;2904
14.05.2026, 12:31:34;Brahmaparuss;Walki;94.578;94.579;1
14.05.2026, 12:31:35;Gawron;Doswiadczenie;114.292.100 / 114.294.585;114.332.412 / 114.342.400;40312
14.05.2026, 12:31:35;Gawron;Zwinnosc;2234;2240;6
14.05.2026, 12:31:35;Gawron;Wytrzymalosc;1965;1966;1
14.05.2026, 12:31:35;Gawron;Walki;56.652;56.654;2
14.05.2026, 12:31:35;Gawron;Zrabowane dobra;181.783.780.592 krwi;181.812.045.866 krwi;28265274
14.05.2026, 12:31:35;lux;Doswiadczenie;94.093.765 / 94.095.555;94.165.464 / 94.182.340;71699
14.05.2026, 12:31:35;lux;Wytrzymalosc;2492;2493;1
14.05.2026, 12:31:35;lux;Zrabowane dobra;163.676.327.440 krwi;163.725.081.281 krwi;48753841
14.05.2026, 12:31:36;XTurek;Doswiadczenie;320.975.594 / 321.048.855;320.975.882 / 321.048.855;288
14.05.2026, 12:31:36;XTurek;Walki;115.610;115.613;3
14.05.2026, 12:31:36;XTurek;Zrabowane dobra;731.802.900.471 mięsa;731.805.812.367 mięsa;2911896
14.05.2026, 12:31:38;Viktor;Doswiadczenie;129.137.382 / 129.138.700;129.218.872 / 129.240.360;81490
14.05.2026, 12:31:38;Viktor;Sila;2978;2979;1
14.05.2026, 12:31:38;Viktor;Walki;49.107;49.115;8
14.05.2026, 12:31:38;Viktor;Zrabowane dobra;237.787.164.519 krwi;237.838.413.128 krwi;51248609
14.05.2026, 12:31:39;PEON;Doswiadczenie;144.068.387 / 144.082.485;144.072.796 / 144.082.485;4409
14.05.2026, 12:31:39;PEON;Sila;4778;4780;2
14.05.2026, 12:31:39;PEON;Walki;30.602;30.603;1
14.05.2026, 12:31:39;PEON;Zrabowane dobra;296.617.073.444 mięsa;296.617.081.796 mięsa;8352
14.05.2026, 14:12:53;Brahmaparuss;Doswiadczenie;140.806.330 / 140.826.550;140.889.699 / 140.932.710;83369
14.05.2026, 14:12:53;Brahmaparuss;Walki;94.579;94.580;1
14.05.2026, 14:12:53;Brahmaparuss;Zrabowane dobra;238.633.197.254 krwi;238.697.219.420 krwi;64022166
14.05.2026, 14:12:54;Gawron;Doswiadczenie;114.332.412 / 114.342.400;114.350.689 / 114.390.225;18277
14.05.2026, 14:12:54;Gawron;Walki;56.654;56.655;1
14.05.2026, 14:12:54;Gawron;Zrabowane dobra;181.812.045.866 krwi;181.822.214.362 krwi;10168496
14.05.2026, 14:12:55;lux;Doswiadczenie;94.165.464 / 94.182.340;94.204.857 / 94.225.745;39393
14.05.2026, 14:12:55;lux;Wytrzymalosc;2493;2494;1
14.05.2026, 14:12:55;lux;Walki;103.413;103.421;8
14.05.2026, 14:12:55;lux;Zrabowane dobra;163.725.081.281 krwi;163.771.201.318 krwi;46120037
14.05.2026, 14:12:56;XTurek;Doswiadczenie;320.975.882 / 321.048.855;321.191.449 / 321.209.140;215567
14.05.2026, 14:12:56;XTurek;Sila;4293;4294;1
14.05.2026, 14:12:56;XTurek;Zrabowane dobra;731.805.812.367 mięsa;732.053.732.150 mięsa;247919783
14.05.2026, 14:12:57;Viktor;Doswiadczenie;129.218.872 / 129.240.360;129.270.602 / 129.291.210;51730
14.05.2026, 14:12:57;Viktor;Zwinnosc;2568;2569;1
14.05.2026, 14:12:57;Viktor;Walki;49.115;49.116;1
14.05.2026, 14:12:57;Viktor;Zrabowane dobra;237.838.413.128 krwi;237.876.670.804 krwi;38257676
14.05.2026, 16:42:26;Brahmaparuss;Doswiadczenie;140.889.699 / 140.932.710;141.137.562 / 141.145.155;247863
14.05.2026, 16:42:26;Brahmaparuss;Sila;3901;3906;5
14.05.2026, 16:42:26;Brahmaparuss;Walki;94.580;94.584;4
14.05.2026, 16:42:26;Brahmaparuss;Zrabowane dobra;238.697.219.420 krwi;238.919.866.617 krwi;222647197
14.05.2026, 16:42:27;Gawron;Doswiadczenie;114.350.689 / 114.390.225;114.401.729 / 114.438.060;51040
14.05.2026, 16:42:27;Gawron;Wytrzymalosc;1966;1967;1
