Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
23.08.2026, 00:00:57;XTurek;Doswiadczenie;560.378.443 / 560.433.430;560.408.658 / 560.433.430;30215
23.08.2026, 00:00:57;XTurek;Zrabowane dobra;975.974.498.703 mięsa;976.001.303.807 mięsa;26805104
23.08.2026, 00:00:58;Viktor;Doswiadczenie;156.691.249 / 156.693.615;156.691.818 / 156.693.615;569
23.08.2026, 00:00:58;Viktor;Walki;51.959;51.960;1
23.08.2026, 00:00:58;Viktor;Zrabowane dobra;260.643.903.506 krwi;260.646.324.819 krwi;2421313
