Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
26.05.2026, 00:15:06;Brahmaparuss;Doswiadczenie;155.216.433 / 155.241.490;155.300.869 / 155.352.950;84436
26.05.2026, 00:15:06;Brahmaparuss;Walki;95.054;95.055;1
26.05.2026, 00:15:06;Brahmaparuss;Zrabowane dobra;250.384.192.133 krwi;250.445.572.438 krwi;61380305
26.05.2026, 00:15:07;Gawron;Walki;56.790;56.791;1
26.05.2026, 00:15:08;lux;Doswiadczenie;99.235.940 / 99.239.580;99.235.942 / 99.239.580;2
26.05.2026, 00:15:08;lux;Walki;103.775;103.777;2
26.05.2026, 00:15:10;Viktor;Doswiadczenie;135.415.076 / 135.465.330;135.431.506 / 135.465.330;16430
26.05.2026, 00:15:10;Viktor;Wytrzymalosc;2386;2387;1
26.05.2026, 00:15:10;Viktor;Walki;49.408;49.410;2
26.05.2026, 00:15:10;Viktor;Zrabowane dobra;242.808.661.433 krwi;242.857.086.204 krwi;48424771
26.05.2026, 01:33:51;Brahmaparuss;Doswiadczenie;155.300.869 / 155.352.950;155.340.615 / 155.352.950;39746
26.05.2026, 01:33:51;Brahmaparuss;Wytrzymalosc;3204;3205;1
26.05.2026, 01:33:51;Brahmaparuss;Walki;95.055;95.057;2
26.05.2026, 01:33:51;Brahmaparuss;Zrabowane dobra;250.445.572.438 krwi;250.513.762.114 krwi;68189676
26.05.2026, 01:33:54;XTurek;Doswiadczenie;342.096.925 / 342.138.190;342.107.353 / 342.138.190;10428
26.05.2026, 01:33:54;XTurek;Zrabowane dobra;752.292.861.789 mięsa;752.301.787.520 mięsa;8925731
26.05.2026, 03:27:28;Brahmaparuss;Doswiadczenie;155.340.615 / 155.352.950;155.441.814 / 155.464.455;101199
26.05.2026, 03:27:28;Brahmaparuss;Wytrzymalosc;3205;3206;1
26.05.2026, 03:27:28;Brahmaparuss;Walki;95.057;95.060;3
26.05.2026, 03:27:28;Brahmaparuss;Zrabowane dobra;250.513.762.114 krwi;250.595.516.318 krwi;81754204
26.05.2026, 03:27:29;Gawron;Doswiadczenie;116.018.653 / 116.022.260;116.023.470 / 116.070.435;4817
26.05.2026, 03:27:30;lux;Doswiadczenie;99.235.942 / 99.239.580;99.240.397 / 99.284.135;4455
26.05.2026, 03:27:32;PEON;Doswiadczenie;144.569.504 / 144.619.795;144.574.882 / 144.619.795;5378
26.05.2026, 07:40:52;Brahmaparuss;Doswiadczenie;155.441.814 / 155.464.455;155.594.842 / 155.631.780;153028
26.05.2026, 07:40:52;Brahmaparuss;Walki;95.060;95.066;6
26.05.2026, 07:40:52;Brahmaparuss;Zrabowane dobra;250.595.516.318 krwi;250.707.739.211 krwi;112222893
26.05.2026, 07:40:54;lux;Doswiadczenie;99.240.397 / 99.284.135;99.330.843 / 99.373.275;90446
26.05.2026, 07:40:54;lux;Zwinnosc;2086;2087;1
26.05.2026, 07:40:54;lux;Walki;103.777;103.791;14
26.05.2026, 07:40:54;lux;Zrabowane dobra;167.748.038.363 krwi;167.828.723.164 krwi;80684801
26.05.2026, 07:40:55;XTurek;Doswiadczenie;342.107.353 / 342.138.190;342.525.923 / 342.551.920;418570
26.05.2026, 07:40:55;XTurek;Wytrzymalosc;3728;3729;1
26.05.2026, 07:40:55;XTurek;Zrabowane dobra;752.301.787.520 mięsa;752.685.371.094 mięsa;383583574
26.05.2026, 07:40:56;Viktor;Doswiadczenie;135.431.506 / 135.465.330;135.548.284 / 135.569.450;116778
26.05.2026, 07:40:56;Viktor;Zwinnosc;2594;2595;1
26.05.2026, 07:40:56;Viktor;Zrabowane dobra;242.857.086.204 krwi;242.936.621.390 krwi;79535186
26.05.2026, 07:40:56;PEON;Doswiadczenie;144.574.882 / 144.619.795;144.574.891 / 144.619.795;9
26.05.2026, 07:40:56;PEON;Zrabowane dobra;297.444.754.201 mięsa;297.444.779.266 mięsa;25065
26.05.2026, 10:55:15;Brahmaparuss;Doswiadczenie;155.594.842 / 155.631.780;155.685.662 / 155.687.580;90820
26.05.2026, 10:55:15;Brahmaparuss;Walki;95.066;95.068;2
26.05.2026, 10:55:15;Brahmaparuss;Zrabowane dobra;250.707.739.211 krwi;250.774.295.312 krwi;66556101
26.05.2026, 10:55:16;Gawron;Doswiadczenie;116.023.470 / 116.070.435;116.024.334 / 116.070.435;864
26.05.2026, 10:55:16;Gawron;Walki;56.791;56.792;1
26.05.2026, 10:55:16;Gawron;Zrabowane dobra;182.901.820.001 krwi;182.905.257.641 krwi;3437640
26.05.2026, 10:55:17;lux;Doswiadczenie;99.330.843 / 99.373.275;99.458.208 / 99.462.460;127365
26.05.2026, 10:55:17;lux;Zwinnosc;2087;2088;1
26.05.2026, 10:55:17;lux;Walki;103.791;103.793;2
26.05.2026, 10:55:17;lux;Zrabowane dobra;167.828.723.164 krwi;167.913.159.751 krwi;84436587
26.05.2026, 10:55:17;XTurek;Doswiadczenie;342.525.923 / 342.551.920;342.814.991 / 342.883.085;289068
26.05.2026, 10:55:17;XTurek;Zrabowane dobra;752.685.371.094 mięsa;752.935.609.540 mięsa;250238446
26.05.2026, 10:55:18;Viktor;Doswiadczenie;135.548.284 / 135.569.450;135.646.656 / 135.673.610;98372
26.05.2026, 10:55:18;Viktor;Walki;49.410;49.412;2
26.05.2026, 10:55:18;Viktor;Zrabowane dobra;242.936.621.390 krwi;243.042.310.637 krwi;105689247
26.05.2026, 18:06:49;Brahmaparuss;Doswiadczenie;155.685.662 / 155.687.580;155.979.858 / 156.022.565;294196
26.05.2026, 18:06:49;Brahmaparuss;Walki;95.068;95.077;9
26.05.2026, 18:06:49;Brahmaparuss;Zrabowane dobra;250.774.295.312 krwi;251.015.330.661 krwi;241035349
26.05.2026, 18:06:50;Gawron;Doswiadczenie;116.024.334 / 116.070.435;116.040.294 / 116.070.435;15960
26.05.2026, 18:06:50;Gawron;Walki;56.792;56.798;6
26.05.2026, 18:06:50;Gawron;Zrabowane dobra;182.905.257.641 krwi;182.913.281.469 krwi;8023828
26.05.2026, 18:06:51;lux;Doswiadczenie;99.458.208 / 99.462.460;99.703.169 / 99.730.245;244961
26.05.2026, 18:06:51;lux;Zwinnosc;2088;2090;2
26.05.2026, 18:06:51;lux;Walki;103.793;103.828;35
26.05.2026, 18:06:51;lux;Zrabowane dobra;167.913.159.751 krwi;168.087.808.608 krwi;174648857
26.05.2026, 18:06:51;XTurek;Doswiadczenie;342.814.991 / 342.883.085;343.575.462 / 343.628.790;760471
26.05.2026, 18:06:51;XTurek;Wytrzymalosc;3729;3732;3
26.05.2026, 18:06:51;XTurek;Zrabowane dobra;752.935.609.540 mięsa;753.693.873.872 mięsa;758264332
26.05.2026, 18:06:52;Viktor;Doswiadczenie;135.646.656 / 135.673.610;135.805.131 / 135.829.930;158475
26.05.2026, 18:06:52;Viktor;Sila;2996;2997;1
26.05.2026, 18:06:52;Viktor;Wytrzymalosc;2387;2388;1
26.05.2026, 18:06:52;Viktor;Walki;49.412;49.428;16
26.05.2026, 18:06:52;Viktor;Zrabowane dobra;243.042.310.637 krwi;243.154.118.925 krwi;111808288
26.05.2026, 18:06:53;PEON;Doswiadczenie;144.574.891 / 144.619.795;144.617.643 / 144.619.795;42752
26.05.2026, 18:06:53;PEON;Zwinnosc;2995;2996;1
26.05.2026, 18:06:53;PEON;Walki;30.624;30.625;1
26.05.2026, 18:06:53;PEON;Zrabowane dobra;297.444.779.266 mięsa;297.533.466.891 mięsa;88687625
