Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
11.09.2026, 01:35:54;Brahmaparuss;Doswiadczenie;284.307.316 / 284.340.945;284.307.319 / 284.340.945;3
11.09.2026, 01:35:54;Brahmaparuss;Walki;99.474;99.475;1
11.09.2026, 03:25:53;Brahmaparuss;Doswiadczenie;284.307.319 / 284.340.945;284.344.136 / 284.416.360;36817
11.09.2026, 03:25:53;Brahmaparuss;Zrabowane dobra;369.410.044.948 krwi;369.454.414.065 krwi;44369117
11.09.2026, 03:25:54;Gawron;Doswiadczenie;154.830.478 / 154.851.690;154.836.043 / 154.851.690;5565
11.09.2026, 03:25:56;XTurek;Doswiadczenie;605.786.579 / 605.891.325;606.127.641 / 606.221.615;341062
11.09.2026, 03:25:56;XTurek;Wytrzymalosc;3976;3977;1
11.09.2026, 03:25:56;XTurek;Zrabowane dobra;1.024.478.756.950 mięsa;1.024.772.418.192 mięsa;293661242
11.09.2026, 03:25:57;PEON;Doswiadczenie;190.424.228 / 190.474.090;190.428.451 / 190.474.090;4223
