Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
25.08.2026, 00:33:03;Brahmaparuss;Doswiadczenie;268.120.366 / 268.138.965;268.120.368 / 268.138.965;2
25.08.2026, 00:33:03;Brahmaparuss;Walki;98.929;98.930;1
25.08.2026, 00:33:06;Viktor;Doswiadczenie;157.839.577 / 157.871.420;157.843.413 / 157.871.420;3836
25.08.2026, 00:33:06;Viktor;Walki;52.075;52.076;1
25.08.2026, 01:58:03;XTurek;Doswiadczenie;565.991.342 / 566.058.640;565.999.491 / 566.058.640;8149
25.08.2026, 01:58:03;XTurek;Zrabowane dobra;981.534.337.839 mięsa;981.539.279.840 mięsa;4942001
25.08.2026, 03:25:19;Brahmaparuss;Doswiadczenie;268.120.368 / 268.138.965;268.120.371 / 268.138.965;3
25.08.2026, 03:25:19;Brahmaparuss;Walki;98.930;98.932;2
25.08.2026, 03:25:21;lux;Doswiadczenie;138.404.391 / 138.448.480;138.409.653 / 138.448.480;5262
25.08.2026, 03:25:22;XTurek;Doswiadczenie;565.999.491 / 566.058.640;566.255.978 / 566.271.460;256487
25.08.2026, 03:25:22;XTurek;Wytrzymalosc;3872;3874;2
25.08.2026, 03:25:22;XTurek;Zrabowane dobra;981.539.279.840 mięsa;981.773.951.052 mięsa;234671212
25.08.2026, 04:36:19;XTurek;Doswiadczenie;566.255.978 / 566.271.460;566.413.984 / 566.484.320;158006
25.08.2026, 04:36:19;XTurek;Wytrzymalosc;3874;3875;1
25.08.2026, 04:36:19;XTurek;Zrabowane dobra;981.773.951.052 mięsa;981.931.622.756 mięsa;157671704
25.08.2026, 04:36:21;PEON;Doswiadczenie;177.371.243 / 177.375.635;177.377.199 / 177.435.200;5956
25.08.2026, 05:28:42;Brahmaparuss;Doswiadczenie;268.120.371 / 268.138.965;268.209.422 / 268.212.200;89051
25.08.2026, 05:28:42;Brahmaparuss;Obrona;3989;3993;4
25.08.2026, 05:28:42;Brahmaparuss;Walki;98.932;98.939;7
25.08.2026, 05:28:42;Brahmaparuss;Zrabowane dobra;353.969.695.518 krwi;354.052.507.761 krwi;82812243
25.08.2026, 05:28:45;XTurek;Doswiadczenie;566.413.984 / 566.484.320;566.602.118 / 566.697.225;188134
25.08.2026, 05:28:45;XTurek;Wytrzymalosc;3875;3885;10
25.08.2026, 05:28:45;XTurek;Zrabowane dobra;981.931.622.756 mięsa;982.194.346.492 mięsa;262723736
25.08.2026, 05:28:45;Viktor;Doswiadczenie;157.843.413 / 157.871.420;157.843.416 / 157.871.420;3
25.08.2026, 05:28:45;Viktor;Walki;52.076;52.077;1
25.08.2026, 06:09:38;lux;Doswiadczenie;138.409.653 / 138.448.480;138.409.920 / 138.448.480;267
25.08.2026, 06:09:38;lux;Zrabowane dobra;200.436.560.605 krwi;200.438.004.333 krwi;1443728
25.08.2026, 06:09:39;XTurek;Doswiadczenie;566.602.118 / 566.697.225;566.694.756 / 566.697.225;92638
25.08.2026, 06:09:39;XTurek;Zrabowane dobra;982.194.346.492 mięsa;982.290.725.305 mięsa;96378813
25.08.2026, 06:51:58;Brahmaparuss;Doswiadczenie;268.209.422 / 268.212.200;268.211.428 / 268.212.200;2006
25.08.2026, 06:51:59;Brahmaparuss;Walki;98.939;98.940;1
25.08.2026, 06:52:02;XTurek;Doswiadczenie;566.694.756 / 566.697.225;566.754.875 / 566.803.690;60119
25.08.2026, 06:52:02;XTurek;Zrabowane dobra;982.290.725.305 mięsa;982.355.561.142 mięsa;64835837
25.08.2026, 06:52:03;Viktor;Doswiadczenie;157.843.416 / 157.871.420;157.843.419 / 157.871.420;3
25.08.2026, 06:52:03;Viktor;Walki;52.077;52.078;1
25.08.2026, 06:52:04;PEON;Doswiadczenie;177.377.199 / 177.435.200;177.459.449 / 177.494.775;82250
25.08.2026, 06:52:04;PEON;Obrona;3320;3321;1
25.08.2026, 06:52:04;PEON;Zrabowane dobra;323.754.248.282 mięsa;323.817.991.045 mięsa;63742763
25.08.2026, 07:21:11;Gawron;Walki;58.014;58.015;1
25.08.2026, 07:21:12;XTurek;Doswiadczenie;566.754.875 / 566.803.690;566.850.905 / 566.910.165;96030
25.08.2026, 07:21:12;XTurek;Wytrzymalosc;3885;3886;1
25.08.2026, 07:21:12;XTurek;Zrabowane dobra;982.355.561.142 mięsa;982.435.085.467 mięsa;79524325
25.08.2026, 07:21:13;Viktor;Walki;52.078;52.079;1
25.08.2026, 07:52:29;XTurek;Doswiadczenie;566.850.905 / 566.910.165;566.904.813 / 566.910.165;53908
25.08.2026, 07:52:29;XTurek;Zrabowane dobra;982.435.085.467 mięsa;982.498.992.575 mięsa;63907108
25.08.2026, 08:24:41;Viktor;Doswiadczenie;157.843.419 / 157.871.420;157.843.422 / 157.871.420;3
25.08.2026, 08:24:41;Viktor;Walki;52.079;52.080;1
25.08.2026, 08:24:42;PEON;Doswiadczenie;177.459.449 / 177.494.775;177.536.779 / 177.554.360;77330
25.08.2026, 08:24:42;PEON;Zrabowane dobra;323.817.991.045 mięsa;323.876.625.646 mięsa;58634601
25.08.2026, 09:23:23;Brahmaparuss;Doswiadczenie;268.211.428 / 268.212.200;268.298.234 / 268.358.705;86806
25.08.2026, 09:23:23;Brahmaparuss;Walki;98.940;98.941;1
25.08.2026, 09:23:23;Brahmaparuss;Zrabowane dobra;354.052.507.761 krwi;354.120.981.753 krwi;68473992
25.08.2026, 09:23:24;Gawron;Doswiadczenie;150.091.274 / 150.102.680;150.096.489 / 150.102.680;5215
25.08.2026, 09:23:24;Gawron;Sila;2570;2572;2
25.08.2026, 09:23:24;Gawron;Obrona;2535;2538;3
25.08.2026, 09:23:24;Gawron;Zwinnosc;2352;2353;1
25.08.2026, 09:23:24;Gawron;Walki;58.015;58.016;1
25.08.2026, 09:23:24;Gawron;Zrabowane dobra;211.716.944.860 krwi;211.745.004.032 krwi;28059172
25.08.2026, 09:23:26;XTurek;Doswiadczenie;566.904.813 / 566.910.165;567.073.628 / 567.123.150;168815
25.08.2026, 09:23:26;XTurek;Wytrzymalosc;3886;3887;1
25.08.2026, 09:23:26;XTurek;Zrabowane dobra;982.498.992.575 mięsa;982.660.998.177 mięsa;162005602
25.08.2026, 09:23:26;Viktor;Doswiadczenie;157.843.422 / 157.871.420;157.843.590 / 157.871.420;168
25.08.2026, 09:23:26;Viktor;Zrabowane dobra;261.879.075.437 krwi;261.879.795.380 krwi;719943
25.08.2026, 09:23:27;PEON;Doswiadczenie;177.536.779 / 177.554.360;177.571.067 / 177.613.960;34288
25.08.2026, 09:23:27;PEON;Zrabowane dobra;323.876.625.646 mięsa;323.899.895.311 mięsa;23269665
