Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
29.06.2026, 00:39:04;Brahmaparuss;Doswiadczenie;200.239.798 / 200.287.530;200.328.961 / 200.350.830;89163
29.06.2026, 00:39:04;Brahmaparuss;Walki;96.672;96.673;1
29.06.2026, 00:39:04;Brahmaparuss;Zrabowane dobra;291.078.026.790 krwi;291.147.559.288 krwi;69532498
29.06.2026, 00:39:05;Gawron;Doswiadczenie;124.766.257 / 124.805.075;124.771.087 / 124.805.075;4830
29.06.2026, 00:39:05;Gawron;Walki;57.242;57.243;1
29.06.2026, 00:39:05;Gawron;Zrabowane dobra;190.132.369.706 krwi;190.132.531.416 krwi;161710
29.06.2026, 00:39:06;lux;Doswiadczenie;115.775.061 / 115.781.530;115.852.333 / 115.877.790;77272
29.06.2026, 00:39:06;lux;Zwinnosc;2143;2144;1
29.06.2026, 00:39:06;lux;Wytrzymalosc;2541;2542;1
29.06.2026, 00:39:06;lux;Walki;105.864;105.865;1
29.06.2026, 00:39:06;lux;Zrabowane dobra;180.963.180.632 krwi;181.046.086.284 krwi;82905652
29.06.2026, 00:39:07;XTurek;Doswiadczenie;418.344.618 / 418.347.190;418.420.526 / 418.438.665;75908
29.06.2026, 00:39:07;XTurek;Obrona;3313;3314;1
29.06.2026, 00:39:07;XTurek;Zrabowane dobra;829.143.902.862 mięsa;829.225.034.968 mięsa;81132106
29.06.2026, 00:39:07;Viktor;Doswiadczenie;148.082.777 / 148.136.685;148.119.467 / 148.136.685;36690
29.06.2026, 00:39:07;Viktor;Walki;50.115;50.116;1
29.06.2026, 00:39:07;Viktor;Zrabowane dobra;252.967.789.652 krwi;252.991.801.018 krwi;24011366
29.06.2026, 00:39:08;PEON;Doswiadczenie;146.214.251 / 146.237.725;146.243.420 / 146.291.810;29169
29.06.2026, 00:39:08;PEON;Zrabowane dobra;299.318.542.133 mięsa;299.355.659.289 mięsa;37117156
29.06.2026, 01:46:11;Brahmaparuss;Doswiadczenie;200.328.961 / 200.350.830;200.329.439 / 200.350.830;478
29.06.2026, 01:46:11;Brahmaparuss;Walki;96.673;96.676;3
29.06.2026, 01:46:11;Brahmaparuss;Zrabowane dobra;291.147.559.288 krwi;291.149.200.414 krwi;1641126
29.06.2026, 01:46:12;Gawron;Doswiadczenie;124.771.087 / 124.805.075;124.771.090 / 124.805.075;3
29.06.2026, 01:46:12;Gawron;Walki;57.243;57.244;1
29.06.2026, 01:46:13;lux;Doswiadczenie;115.852.333 / 115.877.790;115.887.828 / 115.925.940;35495
29.06.2026, 01:46:13;lux;Zrabowane dobra;181.046.086.284 krwi;181.068.947.151 krwi;22860867
29.06.2026, 01:46:14;Viktor;Doswiadczenie;148.119.467 / 148.136.685;148.119.949 / 148.136.685;482
29.06.2026, 01:46:14;Viktor;Zrabowane dobra;252.991.801.018 krwi;252.993.584.499 krwi;1783481
29.06.2026, 03:56:46;Brahmaparuss;Doswiadczenie;200.329.439 / 200.350.830;200.459.735 / 200.477.450;130296
29.06.2026, 03:56:46;Brahmaparuss;Wytrzymalosc;3299;3300;1
29.06.2026, 03:56:46;Brahmaparuss;Walki;96.676;96.684;8
29.06.2026, 03:56:46;Brahmaparuss;Zrabowane dobra;291.149.200.414 krwi;291.253.839.269 krwi;104638855
29.06.2026, 03:56:48;XTurek;Doswiadczenie;418.420.526 / 418.438.665;418.429.674 / 418.438.665;9148
29.06.2026, 03:56:49;PEON;Doswiadczenie;146.243.420 / 146.291.810;146.248.829 / 146.291.810;5409
29.06.2026, 08:48:27;Brahmaparuss;Doswiadczenie;200.459.735 / 200.477.450;200.463.202 / 200.477.450;3467
29.06.2026, 08:48:28;Gawron;Doswiadczenie;124.771.090 / 124.805.075;124.920.457 / 124.955.000;149367
29.06.2026, 08:48:28;Gawron;Zwinnosc;2287;2288;1
29.06.2026, 08:48:28;Gawron;Zrabowane dobra;190.132.531.416 krwi;190.235.165.730 krwi;102634314
29.06.2026, 08:48:29;lux;Doswiadczenie;115.887.828 / 115.925.940;115.930.035 / 115.974.095;42207
29.06.2026, 08:48:29;lux;Zrabowane dobra;181.068.947.151 krwi;181.099.058.510 krwi;30111359
29.06.2026, 08:48:29;XTurek;Doswiadczenie;418.429.674 / 418.438.665;419.079.053 / 419.079.280;649379
29.06.2026, 08:48:29;XTurek;Obrona;3314;3317;3
29.06.2026, 08:48:29;XTurek;Zrabowane dobra;829.225.034.968 mięsa;829.878.359.501 mięsa;653324533
29.06.2026, 08:48:30;Viktor;Doswiadczenie;148.119.949 / 148.136.685;148.244.773 / 148.245.570;124824
29.06.2026, 08:48:30;Viktor;Wytrzymalosc;2425;2426;1
29.06.2026, 08:48:30;Viktor;Walki;50.116;50.117;1
29.06.2026, 08:48:30;Viktor;Zrabowane dobra;252.993.584.499 krwi;253.084.693.237 krwi;91108738
29.06.2026, 08:48:31;PEON;Doswiadczenie;146.248.829 / 146.291.810;146.248.885 / 146.291.810;56
