Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
11.07.2026, 00:33:17;Brahmaparuss;Doswiadczenie;217.050.376 / 217.081.190;217.057.495 / 217.081.190;7119
11.07.2026, 00:33:17;Brahmaparuss;Walki;97.242;97.244;2
11.07.2026, 00:33:17;Brahmaparuss;Zrabowane dobra;307.218.570.784 krwi;307.230.389.538 krwi;11818754
11.07.2026, 00:33:19;lux;Doswiadczenie;122.101.523 / 122.121.760;122.126.710 / 122.171.185;25187
11.07.2026, 00:33:19;lux;Zwinnosc;2154;2155;1
11.07.2026, 00:33:19;lux;Walki;106.574;106.575;1
11.07.2026, 00:33:19;lux;Zrabowane dobra;186.823.144.033 krwi;186.860.399.724 krwi;37255691
11.07.2026, 00:33:20;XTurek;Doswiadczenie;449.085.676 / 449.171.895;449.189.286 / 449.266.680;103610
11.07.2026, 00:33:20;XTurek;Zrabowane dobra;861.352.849.375 mięsa;861.477.229.225 mięsa;124379850
11.07.2026, 00:33:21;Viktor;Doswiadczenie;152.376.283 / 152.412.725;152.376.583 / 152.412.725;300
11.07.2026, 00:33:21;Viktor;Zrabowane dobra;256.672.834.328 krwi;256.673.793.128 krwi;958800
11.07.2026, 00:33:21;PEON;Doswiadczenie;147.634.966 / 147.647.210;147.676.598 / 147.701.560;41632
11.07.2026, 00:33:21;PEON;Zrabowane dobra;300.545.547.216 mięsa;300.604.340.034 mięsa;58792818
11.07.2026, 01:32:31;XTurek;Doswiadczenie;449.189.286 / 449.266.680;449.359.151 / 449.361.480;169865
11.07.2026, 01:32:31;XTurek;Wytrzymalosc;3793;3794;1
11.07.2026, 01:32:31;XTurek;Zrabowane dobra;861.477.229.225 mięsa;861.669.951.648 mięsa;192722423
11.07.2026, 03:02:34;Brahmaparuss;Doswiadczenie;217.057.495 / 217.081.190;217.062.903 / 217.081.190;5408
