Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
05.07.2026, 00:38:29;lux;Doswiadczenie;118.939.251 / 118.979.295;118.939.255 / 118.979.295;4
05.07.2026, 00:38:29;lux;Walki;106.199;106.201;2
05.07.2026, 00:38:29;XTurek;Doswiadczenie;433.419.632 / 433.482.915;433.571.992 / 433.576.030;152360
05.07.2026, 00:38:29;XTurek;Wytrzymalosc;3752;3753;1
05.07.2026, 00:38:29;XTurek;Zrabowane dobra;845.169.331.473 mięsa;845.302.103.597 mięsa;132772124
05.07.2026, 00:38:31;PEON;Doswiadczenie;146.529.763 / 146.562.390;146.529.867 / 146.562.390;104
05.07.2026, 00:38:31;PEON;Zrabowane dobra;299.590.314.433 mięsa;299.590.750.830 mięsa;436397
05.07.2026, 01:41:44;Brahmaparuss;Doswiadczenie;207.048.183 / 207.052.560;207.048.185 / 207.052.560;2
05.07.2026, 01:41:44;Brahmaparuss;Walki;96.971;96.972;1
05.07.2026, 01:41:45;lux;Doswiadczenie;118.939.255 / 118.979.295;119.016.177 / 119.028.080;76922
05.07.2026, 01:41:45;lux;Walki;106.201;106.202;1
05.07.2026, 01:41:45;lux;Zrabowane dobra;183.527.267.636 krwi;183.600.144.066 krwi;72876430
05.07.2026, 01:41:46;XTurek;Doswiadczenie;433.571.992 / 433.576.030;433.669.914 / 433.762.290;97922
05.07.2026, 01:41:46;XTurek;Zrabowane dobra;845.302.103.597 mięsa;845.464.196.954 mięsa;162093357
05.07.2026, 01:41:47;Viktor;Walki;50.157;50.158;1
