Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
27.06.2026, 00:49:15;Brahmaparuss;Doswiadczenie;197.163.435 / 197.198.280;197.165.152 / 197.198.280;1717
27.06.2026, 00:49:16;Gawron;Doswiadczenie;124.358.788 / 124.405.705;124.401.508 / 124.405.705;42720
27.06.2026, 00:49:16;Gawron;Walki;57.215;57.217;2
27.06.2026, 00:49:16;Gawron;Zrabowane dobra;189.771.370.430 krwi;189.819.561.480 krwi;48191050
27.06.2026, 00:49:17;XTurek;Doswiadczenie;413.171.444 / 413.240.495;413.287.205 / 413.331.410;115761
27.06.2026, 00:49:17;XTurek;Obrona;3286;3287;1
27.06.2026, 00:49:17;XTurek;Zrabowane dobra;823.865.156.354 mięsa;823.982.382.352 mięsa;117225998
27.06.2026, 00:49:18;Viktor;Doswiadczenie;147.214.114 / 147.267.070;147.247.845 / 147.267.070;33731
27.06.2026, 00:49:18;Viktor;Zrabowane dobra;252.337.444.555 krwi;252.361.960.105 krwi;24515550
27.06.2026, 00:49:19;PEON;Doswiadczenie;146.108.431 / 146.129.585;146.140.155 / 146.183.650;31724
27.06.2026, 00:49:19;PEON;Obrona;3288;3289;1
27.06.2026, 00:49:19;PEON;Zrabowane dobra;299.189.832.247 mięsa;299.228.836.546 mięsa;39004299
