Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
08.09.2026, 02:08:02;Brahmaparuss;Doswiadczenie;281.343.486 / 281.407.520;281.411.052 / 281.482.545;67566
08.09.2026, 02:08:02;Brahmaparuss;Walki;99.415;99.417;2
08.09.2026, 02:08:02;Brahmaparuss;Zrabowane dobra;366.505.265.682 krwi;366.543.032.794 krwi;37767112
08.09.2026, 02:08:02;Gawron;Doswiadczenie;152.605.341 / 152.633.650;152.610.866 / 152.633.650;5525
08.09.2026, 02:08:04;XTurek;Doswiadczenie;600.486.974 / 600.509.360;600.648.815 / 600.728.565;161841
08.09.2026, 02:08:04;XTurek;Zrabowane dobra;1.018.586.858.876 mięsa;1.018.689.172.418 mięsa;102313542
08.09.2026, 02:08:05;Viktor;Doswiadczenie;159.069.818 / 159.110.045;159.069.820 / 159.110.045;2
08.09.2026, 02:08:05;Viktor;Walki;52.384;52.385;1
